name,image,description
Tiffany Barnes,tiffany-barnes.png,"BJC-STARS Director, Associate Professor of Computer Science at North Carolina State University"
Dan Garcia,dan-garcia.jpg,"Teaching Professor, UC Berkeley. Co-developer of the Beauty and Joy of Computing curriculum. Member CS Principles Development committee and ACM Education Board. Honored as an ACM Distinguished Educator in 2012."
Brian Harvey,brian-harvey.png,"Teaching Professor Emeritus, UC Berkeley; author of _Computer Science Logo Style_ and (with Matthew Wright) _Simply Scheme: Introducing Computer Science_; developer of Berkeley Logo; co-developer (with Jens Monig) of Snap!; co-developer of the Beauty and Joy of Computing curriculum."
Lauren Mock,lauren-mock.jpg,""
Michael Ball,michael-ball.jpg,""
