name,image,location,description
Madeline Drayton,madeline-drayton.jpg,"Providence High School, Charlotte, North Carolina","Computer Science Teacher"
Lynda Roszko,lynda-roszko.jpg,"Leesville Road High School, Raleigh, North Carolina","Computer Science Teacher (23 years)"
Pauline White,pauline-white.png,"Burnt Hills-Ballston Lake High School, Burnt Hills, NY","Computer Science Teacher"
Marnie Hill,marnie-hill.jpg,"J.H. Rose High School, Greenville, NC","Business/Computer Science Teacher"
Claribel Perez,claribel-perez.jpg,"North Shore MS, Houston, TX","HS Science Teacher & BJC Teacher since 2012, Puerto Rico"
Barbara Froehlich,barbara-froehlich.png,"East Orange STEM Academy, East Orange, NJ","Computer Science and Engineering Teacher"
