title,thumbnail,link,description
Fractal Fruit Tree,snap_tree.png,http://snap.berkeley.edu/snapsource/snap.html#open:http://snap.berkeley.edu/snapsource/demo/fractal_fruit_tree.xml,"Fractal Fruit Tree by Josh Paley, created using recursion."
Star Wars Game,snap_starwars.png,http://snap.berkeley.edu/snapsource/snap.html#open:http://snap.berkeley.edu/snapsource/demo/star%20wars.xml,"Project converted from Scratch."
Fractal - Double Jurassic Park,snap_fractal.png,http://snap.berkeley.edu/snapsource/snap.html#open:http://snap.berkeley.edu/snapsource/demo/Double%20Jurassic%20Park.xml,"Converted from BYOB."
Funny Face,snap_funnyface.png,http://snap.berkeley.edu/snapsource/snap.html#open:http://snap.berkeley.edu/snapsource/demo/funny%20face.xml,"Converted from Scratch."
