name,image,description
Dan Garcia,dan-garcia.jpg,"Teaching Professor, UC Berkeley. Co-developer of the Beauty and Joy of Computing curriculum. Member CS Principles Development committee and ACM Education Board. Honored as an ACM Distinguished Educator in 2012."
Lauren Mock,lauren-mock.jpg,Program Manager, UC Berkeley, Managing edX and SPOC for BJC, Technical Development Teams, Professional Development and Teacher Community; Former CS10 Head TA
Michael Ball,michael-ball.jpg,Software Development, UC Berkeley, BJC Development focusing on Autograding and Snap!, Former CS10 Head TA
Sahil Hasan,,Software Development
Tina Huang,,Software Development
Robert Lowe,,Community Leader
